latitude,longitude,value
45.75,12.25,52.559525
45.75,12.75,46.418198
45.75,13.25,21.226486
45.75,13.75,12.901784
45.25,12.25,81.285851
45.25,12.75,45.033901
45.25,13.25,12.483533
45.25,13.75,8.883769
45.25,14.25,3.1907074
45.25,14.75,6.0106182
44.75,12.25,96.270531
44.75,12.75,67.143768
44.75,13.25,9.5366449
44.75,13.75,5.1505857
44.75,14.25,4.6599879
44.75,14.75,6.9203491
44.75,15.25,6.0767155
44.25,12.25,46.468365
44.25,12.75,16.380199
44.25,13.25,3.8144488
44.25,13.75,1.5724927
44.25,14.25,1.4847089
44.25,14.75,5.0134783
44.25,15.25,5.1489944
44.25,15.75,6.3326926
43.75,12.75,12.155849
43.75,13.25,5.6054397
43.75,13.75,1.8348205
43.75,14.25,0.59860831
43.75,14.75,0.73967063
43.75,15.25,1.7469829
43.75,15.75,2.6141009
43.75,16.25,6.2588124
43.75,16.75,7.1207299
43.25,13.75,3.0522788
43.25,14.25,1.1464236
43.25,14.75,0.57060432
43.25,15.25,0.67843479
43.25,15.75,0.93065655
43.25,16.25,3.2329874
43.25,16.75,6.8349752
43.25,17.25,7.0827599
43.25,17.75,6.7814631
42.75,14.25,3.2369192
42.75,14.75,0.77419537
42.75,15.25,0.7622835
42.75,15.75,0.92451209
42.75,16.25,1.1607531
42.75,16.75,1.9168805
42.75,17.25,3.96667
42.75,17.75,7.2459378
42.75,18.25,5.7768259
42.75,18.75,6.6410031
42.25,14.75,2.5534286
42.25,15.25,0.85143083
42.25,15.75,0.59576774
42.25,16.25,0.92620993
42.25,16.75,1.2237892
42.25,17.25,1.364096
42.25,17.75,1.8135456
42.25,18.25,2.5699108
42.25,18.75,3.2313781
42.25,19.25,6.1374717
41.75,15.75,1.1540797
41.75,16.25,1.7443733
41.75,16.75,1.279699
41.75,17.25,1.4067836
41.75,17.75,1.431915
41.75,18.25,1.5243037
41.75,18.75,2.6427979
41.75,19.25,10.223731
41.25,16.75,1.7215165
41.25,17.25,1.616901
41.25,17.75,1.5816581
41.25,18.25,1.4845793
41.25,18.75,2.0257185
41.25,19.25,8.3960276
40.75,17.25,1.6734896
40.75,17.75,1.6495929
40.75,18.25,1.6883323
40.75,18.75,1.7919716
40.75,19.25,5.9414854
40.25,18.25,1.2475921
40.25,18.75,1.4457481
40.25,19.25,1.4870377
39.75,19.25,1.019163
